city,state_id,state_name
New York,NY,New York
Los Angeles,CA,California
Chicago,IL,Illinois
Miami,FL,Florida
Dallas,TX,Texas
Houston,TX,Texas
Philadelphia,PA,Pennsylvania
Atlanta,GA,Georgia
Washington,DC,District of Columbia
Boston,MA,Massachusetts
Phoenix,AZ,Arizona
Detroit,MI,Michigan
San Francisco,CA,California
Seattle,WA,Washington
San Diego,CA,California
Minneapolis,MN,Minnesota
Tampa,FL,Florida
Brooklyn,NY,New York
Denver,CO,Colorado
Queens,NY,New York
Baltimore,MD,Maryland
Las Vegas,NV,Nevada
St. Louis,MO,Missouri
Riverside,CA,California
Portland,OR,Oregon
San Antonio,TX,Texas
Sacramento,CA,California
San Juan,PR,Puerto Rico
San Jose,CA,California
Orlando,FL,Florida
Cleveland,OH,Ohio
Pittsburgh,PA,Pennsylvania
Manhattan,NY,New York
Austin,TX,Texas
Cincinnati,OH,Ohio
Indianapolis,IN,Indiana
Kansas City,MO,Missouri
Columbus,OH,Ohio
Charlotte,NC,North Carolina
Virginia Beach,VA,Virginia
Bronx,NY,New York
Milwaukee,WI,Wisconsin
Providence,RI,Rhode Island
Jacksonville,FL,Florida
Salt Lake City,UT,Utah
Nashville,TN,Tennessee
Raleigh,NC,North Carolina
Memphis,TN,Tennessee
Richmond,VA,Virginia
Louisville,KY,Kentucky
New Orleans,LA,Louisiana
Bridgeport,CT,Connecticut
Oklahoma City,OK,Oklahoma
Buffalo,NY,New York
Hartford,CT,Connecticut
Fort Worth,TX,Texas
Tucson,AZ,Arizona
Honolulu,HI,Hawaii
McAllen,TX,Texas
El Paso,TX,Texas
Omaha,NE,Nebraska
Albuquerque,NM,New Mexico
Birmingham,AL,Alabama
Sarasota,FL,Florida
Dayton,OH,Ohio
Rochester,NY,New York
Fresno,CA,California
Tulsa,OK,Oklahoma
Allentown,PA,Pennsylvania
Concord,CA,California
Cape Coral,FL,Florida
Charleston,SC,South Carolina
Colorado Springs,CO,Colorado
Springfield,MA,Massachusetts
Grand Rapids,MI,Michigan
Ogden,UT,Utah
Columbia,SC,South Carolina
Baton Rouge,LA,Louisiana
Knoxville,TN,Tennessee
Mission Viejo,CA,California
Albany,NY,New York
Akron,OH,Ohio
New Haven,CT,Connecticut
Provo,UT,Utah
Bakersfield,CA,California
Murrieta,CA,California
Des Moines,IA,Iowa
Worcester,MA,Massachusetts
Mesa,AZ,Arizona
Toledo,OH,Ohio
Palm Bay,FL,Florida
Staten Island,NY,New York
Wichita,KS,Kansas
Harrisburg,PA,Pennsylvania
Long Beach,CA,California
Little Rock,AR,Arkansas
Madison,WI,Wisconsin
Greenville,SC,South Carolina
Reno,NV,Nevada
Port St. Lucie,FL,Florida
Lancaster,PA,Pennsylvania
Spokane,WA,Washington
Denton,TX,Texas
Poughkeepsie,NY,New York
Oakland,CA,California
Winston-Salem,NC,North Carolina
Syracuse,NY,New York
Boise,ID,Idaho
Chattanooga,TN,Tennessee
Augusta,GA,Georgia
Arlington,TX,Texas
Stockton,CA,California
Durham,NC,North Carolina
Palm Coast,FL,Florida
Scranton,PA,Pennsylvania
Aurora,CO,Colorado
Oxnard,CA,California
Modesto,CA,California
Indio,CA,California
Kissimmee,FL,Florida
Youngstown,OH,Ohio
Pensacola,FL,Florida
Lancaster,CA,California
Anaheim,CA,California
Fayetteville,AR,Arkansas
Jackson,MS,Mississippi
Victorville,CA,California
Bonita Springs,FL,Florida
Greensboro,NC,North Carolina
Corpus Christi,TX,Texas
Flint,MI,Michigan
Fayetteville,NC,North Carolina
Santa Ana,CA,California
Fort Wayne,IN,Indiana
Mobile,AL,Alabama
Lansing,MI,Michigan
Ann Arbor,MI,Michigan
Huntsville,AL,Alabama
Lexington,KY,Kentucky
Santa Rosa,CA,California
Antioch,CA,California
Asheville,NC,North Carolina
Henderson,NV,Nevada
St. Paul,MN,Minnesota
Fort Collins,CO,Colorado
Lakeland,FL,Florida
Springfield,MO,Missouri
The Woodlands,TX,Texas
Shreveport,LA,Louisiana
Trenton,NJ,New Jersey
Plano,TX,Texas
Round Lake Beach,IL,Illinois
South Bend,IN,Indiana
Savannah,GA,Georgia
Newark,NJ,New Jersey
Davenport,IA,Iowa
Myrtle Beach,SC,South Carolina
Lincoln,NE,Nebraska
Rockford,IL,Illinois
Reading,PA,Pennsylvania
Canton,OH,Ohio
Irvine,CA,California
Eugene,OR,Oregon
Chula Vista,CA,California
St. Petersburg,FL,Florida
Salem,OR,Oregon
Lafayette,LA,Louisiana
Laredo,TX,Texas
Jersey City,NJ,New Jersey
Santa Clarita,CA,California
Aguadilla,PR,Puerto Rico
Wilmington,NC,North Carolina
Lubbock,TX,Texas
Chandler,AZ,Arizona
Scottsdale,AZ,Arizona
Tallahassee,FL,Florida
Montgomery,AL,Alabama
Peoria,IL,Illinois
Glendale,AZ,Arizona
Columbus,GA,Georgia
Anchorage,AK,Alaska
Gilbert,AZ,Arizona
North Las Vegas,NV,Nevada
Avondale,AZ,Arizona
McKinney,TX,Texas
Norfolk,VA,Virginia
Chesapeake,VA,Virginia
Kennewick,WA,Washington
Winter Haven,FL,Florida
Irving,TX,Texas
Garland,TX,Texas
York,PA,Pennsylvania
Concord,NC,North Carolina
Arlington,VA,Virginia
Atlantic City,NJ,New Jersey
Visalia,CA,California
Fremont,CA,California
Hialeah,FL,Florida
Nashua,NH,New Hampshire
Killeen,TX,Texas
Gulfport,MS,Mississippi
Brownsville,TX,Texas
Evansville,IN,Indiana
Appleton,WI,Wisconsin
Navarre,FL,Florida
Bel Air South,MD,Maryland
Kalamazoo,MI,Michigan
Bremerton,WA,Washington
Spring Valley,NV,Nevada
San Bernardino,CA,California
Roanoke,VA,Virginia
Spartanburg,SC,South Carolina
Tacoma,WA,Washington
Enterprise,NV,Nevada
Green Bay,WI,Wisconsin
Portland,ME,Maine
Thousand Oaks,CA,California
Fontana,CA,California
Hickory,NC,North Carolina
Moreno Valley,CA,California
Deltona,FL,Florida
Fargo,ND,North Dakota
Santa Barbara,CA,California
College Station,TX,Texas
Gainesville,FL,Florida
Amarillo,TX,Texas
Norwich,CT,Connecticut
Olympia,WA,Washington
Yonkers,NY,New York
Huntington Beach,CA,California
Glendale,CA,California
Aurora,IL,Illinois
Huntington,WV,West Virginia
Sunrise Manor,NV,Nevada
North Port,FL,Florida
Hagerstown,MD,Maryland
Grand Prairie,TX,Texas
Overland Park,KS,Kansas
Paradise,NV,Nevada
Tempe,AZ,Arizona
Salinas,CA,California
Erie,PA,Pennsylvania
Cedar Rapids,IA,Iowa
Waterbury,CT,Connecticut
Frisco,TX,Texas
Waco,TX,Texas
Gastonia,NC,North Carolina
Clarksville,TN,Tennessee
Vancouver,WA,Washington
